Z,symbol,even_range,pronic_endpoints,pronic_chains,total
899,,0,0,0,0
900,,7,8,724,739
901,,7,0,724,731
902,,2,2,288,292
903,,2,0,288,290
904,,1,1,29,31
905,,1,0,29,30
906,,2,2,20,24
907,,2,0,20,22
908,,1,1,7,9
909,,1,0,7,8
910,,5,6,576,587
911,,5,0,576,581
912,,2,3,297,302
913,,2,0,297,299
914,,0,0,0,0
915,,0,0,0,0
916,,1,1,7,9
917,,1,0,7,8
918,,4,6,700,710
919,,4,0,700,704
920,,3,3,294,300
921,,3,0,294,297
922,,0,0,0,0
923,,0,0,0,0
924,,5,7,746,758
925,,5,0,746,751
926,,0,0,0,0
927,,0,0,0,0
928,,0,1,407,408
929,,0,0,407,407
930,,4,6,619,629
931,,4,0,619,623
932,,1,1,7,9
933,,1,0,7,8
934,,0,0,0,0
935,,0,0,0,0
936,,4,5,426,435
937,,4,0,426,430
938,,2,2,114,118
939,,2,0,114,116
940,,3,3,209,215
941,,3,0,209,212
942,,1,2,20,23
943,,1,0,20,21
944,,1,1,121,123
945,,1,0,121,122
946,,2,2,288,292
947,,2,0,288,290
948,,2,3,78,83
949,,2,0,78,80
950,,3,4,530,537
951,,3,0,530,533
952,,3,3,188,194
953,,3,0,188,191
954,,3,4,211,218
955,,3,0,211,214
956,,1,1,7,9
957,,1,0,7,8
958,,0,0,0,0
959,,0,0,0,0
960,,2,3,121,126
961,,2,0,121,123
962,,1,2,405,408
963,,1,0,405,406
964,,1,1,7,9
965,,1,0,7,8
966,,5,6,599,610
967,,5,0,599,604
968,,2,2,85,89
969,,2,0,85,87
970,,2,2,57,61
971,,2,0,57,59
972,,3,5,467,475
973,,3,0,467,470
974,,0,0,0,0
975,,0,0,0,0
976,,1,1,121,123
977,,1,0,121,122
978,,1,2,20,23
979,,1,0,20,21
980,,4,5,610,619
981,,4,0,610,614
982,,0,0,0,0
983,,0,0,0,0
984,,2,3,310,315
985,,2,0,310,312
986,,1,2,544,547
987,,1,0,544,545
988,,3,3,258,264
989,,3,0,258,261
990,,8,10,1098,1116
991,,8,0,1098,1106
992,,0,1,466,467
993,,0,0,466,466
994,,2,2,114,118
995,,2,0,114,116
996,,2,3,78,83
997,,2,0,78,80
998,,0,0,0,0
999,,0,0,0,0
1000,,2,3,341,346
